date,product_id,region,stock_available,stockout_hours,lead_time
2026-01-01,P012,Central,1096,0.88,5
2026-01-01,P013,North,405,0.27,5
2026-01-01,P013,South,935,0.37,6
2026-01-01,P013,East,1198,0.05,2
2026-01-01,P013,West,877,0.85,2
2026-01-01,P013,Central,346,0.33,4
2026-01-01,P014,North,549,0.0,6
2026-01-01,P014,South,445,1.01,6
2026-01-01,P014,East,354,0.5,5
2026-01-01,P014,West,480,0.36,6
2026-01-01,P014,Central,198,0.56,7
2026-01-01,P015,North,852,0.09,6
2026-01-01,P015,South,348,0.19,5
2026-01-01,P015,East,800,0.61,7
2026-01-01,P015,West,621,0.29,3
2026-01-01,P015,Central,423,0.51,4
2026-01-01,P016,North,1146,0.37,3
2026-01-01,P016,South,830,0.06,2
2026-01-01,P016,East,405,0.14,3
2026-01-01,P016,West,341,0.29,3
2026-01-01,P016,Central,848,0.23,3
2026-01-01,P017,North,538,0.04,5
2026-01-01,P017,South,554,0.08,7
2026-01-01,P017,East,723,0.01,4
2026-01-01,P017,West,638,0.7,4
2026-01-01,P017,Central,887,0.58,5
2026-01-01,P018,North,799,0.24,5
2026-01-01,P018,South,794,0.23,3
2026-01-01,P018,East,231,0.15,3
2026-01-01,P018,West,601,0.61,5
2026-01-01,P018,Central,668,0.75,3
2026-01-01,P019,North,754,0.11,5
2026-01-01,P019,South,513,0.06,3
2026-01-01,P019,East,861,0.33,4
2026-01-01,P019,West,623,0.16,3
2026-01-01,P019,Central,379,0.37,3
2026-01-01,P020,North,316,0.13,2
2026-01-01,P020,South,299,0.26,5
2026-01-01,P020,East,462,0.36,5
2026-01-01,P020,West,500,0.38,2
2026-01-01,P020,Central,524,0.09,7
2026-01-01,P021,North,873,0.34,6
2026-01-01,P021,South,657,0.25,3
2026-01-01,P021,East,556,0.63,4
2026-01-01,P021,West,953,0.22,2
2026-01-01,P021,Central,617,0.03,6
2026-01-01,P022,North,476,0.55,4
2026-01-01,P022,South,702,0.23,4
2026-01-01,P022,East,663,0.53,2
2026-01-01,P022,West,742,0.07,6
2026-01-01,P022,Central,877,0.85,3
2026-01-01,P023,North,818,0.15,5
2026-01-01,P023,South,615,0.97,7
2026-01-01,P023,East,779,0.1,7
2026-01-01,P023,West,396,0.94,7
2026-01-01,P023,Central,356,0.21,6
2026-01-01,P024,North,451,0.27,7
2026-01-01,P024,South,313,0.63,3
2026-01-01,P024,East,691,0.45,3
2026-01-01,P024,West,362,0.1,3
2026-01-01,P024,Central,510,0.24,6
2026-01-01,P025,North,404,0.63,5
2026-01-01,P025,South,551,0.38,6
2026-01-01,P025,East,981,0.08,4
2026-01-01,P025,West,1038,0.41,6
2026-01-01,P025,Central,510,0.78,4
2026-01-01,P026,North,640,0.53,2
2026-01-01,P026,South,584,0.21,3
2026-01-01,P026,East,1060,0.41,6
2026-01-01,P026,West,1021,0.48,5
2026-01-01,P026,Central,429,0.1,6
2026-01-01,P027,North,585,0.27,5
2026-01-01,P027,South,819,0.39,4
2026-01-01,P027,East,744,0.31,3
2026-01-01,P027,West,926,0.34,4
2026-01-01,P027,Central,1251,0.14,2
2026-01-01,P028,North,752,0.16,4
2026-01-01,P028,South,1072,0.42,6
2026-01-01,P028,East,693,0.19,4
2026-01-01,P028,West,973,0.06,4
2026-01-01,P028,Central,619,0.52,4
2026-01-01,P029,North,1186,0.06,3
2026-01-01,P029,South,1110,0.73,2
2026-01-01,P029,East,897,0.47,2
2026-01-01,P029,West,1478,0.11,2
2026-01-01,P029,Central,1257,0.43,3
2026-01-01,P030,North,586,0.56,5
2026-01-01,P030,South,425,0.32,4
2026-01-01,P030,East,367,0.37,5
2026-01-01,P030,West,590,0.09,5
2026-01-01,P030,Central,392,0.19,4
2026-01-01,P031,North,572,0.9,3
2026-01-01,P031,South,1060,0.97,4
2026-01-01,P031,East,664,0.09,3
2026-01-01,P031,West,612,0.58,6
2026-01-01,P031,Central,292,0.26,7
2026-01-01,P032,North,560,0.05,4
2026-01-01,P032,South,514,0.26,2
2026-01-01,P032,East,579,0.73,3
2026-01-01,P032,West,843,0.3,2
2026-01-01,P032,Central,1035,0.07,6
2026-01-01,P033,North,1038,0.19,4
2026-01-01,P033,South,326,0.2,4
2026-01-01,P033,East,769,0.3,5
2026-01-01,P033,West,901,0.24,2
2026-01-01,P033,Central,537,0.32,6
2026-01-01,P034,North,430,0.61,5
2026-01-01,P034,South,435,0.31,3
2026-01-01,P034,East,983,0.41,6
2026-01-01,P034,West,526,0.84,2
2026-01-01,P034,Central,842,0.18,4
2026-01-01,P035,North,1133,0.36,4
2026-01-01,P035,South,430,0.36,4
2026-01-01,P035,East,659,0.14,7
2026-01-01,P035,West,711,0.29,3
2026-01-01,P035,Central,338,0.35,6
2026-01-01,P036,North,717,0.29,5
2026-01-01,P036,South,261,0.52,5
2026-01-01,P036,East,491,1.04,5
2026-01-01,P036,West,812,0.28,3
2026-01-01,P036,Central,427,0.36,3
2026-01-01,P037,North,834,0.2,5
2026-01-01,P037,South,726,0.19,5
2026-01-01,P037,East,463,0.28,3
2026-01-01,P037,West,317,0.32,4
2026-01-01,P037,Central,1167,0.23,7
2026-01-01,P038,North,698,0.13,4
2026-01-01,P038,South,569,0.19,5
2026-01-01,P038,East,916,0.26,5
2026-01-01,P038,West,1202,0.82,7
2026-01-01,P038,Central,1440,0.15,7
2026-01-01,P039,North,379,0.18,5
2026-01-01,P039,South,369,0.77,6
2026-01-01,P039,East,292,0.28,5
2026-01-01,P039,West,698,0.99,4
2026-01-01,P039,Central,474,0.11,4
2026-01-01,P040,North,469,0.23,3
2026-01-01,P040,South,311,0.34,4
2026-01-01,P040,East,302,0.35,3
2026-01-01,P040,West,794,0.32,3
2026-01-01,P040,Central,809,0.23,3
2026-01-01,P041,North,837,0.47,3
2026-01-01,P041,South,871,0.29,4
2026-01-01,P041,East,1031,0.32,5
2026-01-01,P041,West,357,0.08,4
2026-01-01,P041,Central,527,0.11,3
2026-01-01,P042,North,850,0.72,3
2026-01-01,P042,South,296,0.75,2
2026-01-01,P042,East,388,0.36,4
2026-01-01,P042,West,828,0.39,4
2026-01-01,P042,Central,366,0.09,3
2026-01-01,P043,North,1150,0.26,7
2026-01-01,P043,South,621,0.04,6
2026-01-01,P043,East,726,0.24,3
2026-01-01,P043,West,412,1.48,4
2026-01-01,P043,Central,1271,0.4,3
2026-01-01,P044,North,914,0.13,7
2026-01-01,P044,South,649,0.05,2
2026-01-01,P044,East,818,0.6,3
2026-01-01,P044,West,853,0.35,6
2026-01-01,P044,Central,525,0.03,5
2026-01-01,P045,North,252,0.03,6
2026-01-01,P045,South,301,0.16,6
2026-01-01,P045,East,435,0.34,4
2026-01-01,P045,West,749,0.27,3
2026-01-01,P045,Central,468,0.14,5
2026-01-01,P046,North,789,0.02,4
2026-01-01,P046,South,391,0.12,6
2026-01-01,P046,East,555,0.13,3
2026-01-01,P046,West,636,0.19,3
2026-01-01,P046,Central,567,0.28,4
2026-01-01,P047,North,836,0.2,4
2026-01-01,P047,South,975,0.66,6
2026-01-01,P047,East,504,0.65,5
2026-01-01,P047,West,865,0.54,3
2026-01-01,P047,Central,1126,0.24,5
2026-01-01,P048,North,831,0.17,6
2026-01-01,P048,South,553,0.39,2
2026-01-01,P048,East,629,0.01,7
2026-01-01,P048,West,425,0.29,3
2026-01-01,P048,Central,420,0.02,4
2026-01-01,P049,North,883,0.04,6
2026-01-01,P049,South,567,0.18,7
2026-01-01,P049,East,997,0.69,6
2026-01-01,P049,West,563,0.16,7
2026-01-01,P049,Central,678,0.58,4
2026-01-01,P050,North,547,0.46,4
2026-01-01,P050,South,1154,0.3,2
2026-01-01,P050,East,665,0.1,5
2026-01-01,P050,West,425,0.32,7
2026-01-01,P050,Central,715,0.22,3
2026-01-02,P001,North,1003,0.43,4
2026-01-02,P001,South,644,0.19,4
2026-01-02,P001,East,534,1.2,6
2026-01-02,P001,West,717,0.43,2
2026-01-02,P001,Central,574,0.47,6
2026-01-02,P002,North,418,0.22,3
2026-01-02,P002,South,612,0.28,6
2026-01-02,P002,East,824,0.06,5
2026-01-02,P002,West,700,0.35,2
2026-01-02,P002,Central,653,0.39,6
2026-01-02,P003,North,820,0.55,7
2026-01-02,P003,South,647,0.82,5
2026-01-02,P003,East,466,0.64,4
2026-01-02,P003,West,749,0.12,5
2026-01-02,P003,Central,295,0.82,3
2026-01-02,P004,North,389,0.09,6
2026-01-02,P004,South,363,0.3,5
2026-01-02,P004,East,748,1.08,5
2026-01-02,P004,West,1216,0.09,5
2026-01-02,P004,Central,1033,0.75,7
2026-01-02,P005,North,1004,0.35,4
2026-01-02,P005,South,896,0.11,5
2026-01-02,P005,East,685,0.18,6
2026-01-02,P005,West,772,0.22,5
2026-01-02,P005,Central,662,0.3,3
2026-01-02,P006,North,582,1.63,2
2026-01-02,P006,South,519,0.15,7
2026-01-02,P006,East,793,0.18,4
2026-01-02,P006,West,581,0.74,3
2026-01-02,P006,Central,548,0.04,7
2026-01-02,P007,North,283,0.24,3
2026-01-02,P007,South,771,0.31,2
2026-01-02,P007,East,545,0.34,3
2026-01-02,P007,West,361,0.4,3
2026-01-02,P007,Central,1063,1.05,7
2026-01-02,P008,North,805,0.1,6
2026-01-02,P008,South,1056,0.81,5
2026-01-02,P008,East,366,0.33,3
2026-01-02,P008,West,1030,0.29,3
2026-01-02,P008,Central,712,0.12,5
2026-01-02,P009,North,971,0.36,4
2026-01-02,P009,South,501,0.2,6
2026-01-02,P009,East,760,0.12,4
2026-01-02,P009,West,658,0.02,5
2026-01-02,P009,Central,1117,0.61,4
2026-01-02,P010,North,617,0.24,3
2026-01-02,P010,South,320,0.03,7
2026-01-02,P010,East,255,0.5,5
2026-01-02,P010,West,809,0.29,6
2026-01-02,P010,Central,724,0.27,4
2026-01-02,P011,North,873,0.2,6
2026-01-02,P011,South,1084,0.78,4
2026-01-02,P011,East,604,0.22,4
2026-01-02,P011,West,1042,0.13,4
2026-01-02,P011,Central,1222,0.01,2
2026-01-02,P012,North,982,0.42,7
2026-01-02,P012,South,1185,0.45,4
2026-01-02,P012,East,758,0.29,4
2026-01-02,P012,West,753,0.31,5
2026-01-02,P012,Central,447,0.04,7
2026-01-02,P013,North,851,1.05,3
2026-01-02,P013,South,363,0.36,3
2026-01-02,P013,East,744,0.31,3
2026-01-02,P013,West,960,0.57,2
2026-01-02,P013,Central,638,0.08,4
2026-01-02,P014,North,578,0.71,5
2026-01-02,P014,South,764,0.22,4
2026-01-02,P014,East,531,0.6,4
2026-01-02,P014,West,541,0.5,2
2026-01-02,P014,Central,312,0.08,4
2026-01-02,P015,North,1064,0.45,3
2026-01-02,P015,South,610,0.2,5
2026-01-02,P015,East,822,0.48,3
2026-01-02,P015,West,880,0.05,7
2026-01-02,P015,Central,357,0.1,3
2026-01-02,P016,North,754,0.42,4
2026-01-02,P016,South,663,0.15,3
2026-01-02,P016,East,474,0.33,4
2026-01-02,P016,West,651,0.14,5
2026-01-02,P016,Central,446,0.32,3
2026-01-02,P017,North,349,0.77,7
2026-01-02,P017,South,727,0.18,7
2026-01-02,P017,East,308,0.57,3
2026-01-02,P017,West,445,0.64,4
2026-01-02,P017,Central,577,0.09,7
2026-01-02,P018,North,594,0.28,2
2026-01-02,P018,South,602,0.69,4
2026-01-02,P018,East,294,0.15,7
2026-01-02,P018,West,685,0.43,4
2026-01-02,P018,Central,684,0.14,5
2026-01-02,P019,North,503,0.09,3
2026-01-02,P019,South,214,0.19,4
2026-01-02,P019,East,828,0.15,4
2026-01-02,P019,West,668,0.54,5
2026-01-02,P019,Central,393,0.04,3
2026-01-02,P020,North,915,0.53,6
2026-01-02,P020,South,556,0.16,7
2026-01-02,P020,East,464,0.15,7
2026-01-02,P020,West,594,0.11,5
2026-01-02,P020,Central,1185,0.16,3
2026-01-02,P021,North,631,0.15,4
2026-01-02,P021,South,546,0.63,6
2026-01-02,P021,East,681,0.21,4
2026-01-02,P021,West,980,0.4,4
2026-01-02,P021,Central,484,0.53,6
2026-01-02,P022,North,841,0.17,7
2026-01-02,P022,South,700,0.04,4
2026-01-02,P022,East,1004,0.2,3
2026-01-02,P022,West,636,0.16,5
2026-01-02,P022,Central,724,0.09,3
2026-01-02,P023,North,355,0.26,5
2026-01-02,P023,South,376,0.11,5
2026-01-02,P023,East,679,0.47,6
2026-01-02,P023,West,541,0.55,6
2026-01-02,P023,Central,958,0.17,2
2026-01-02,P024,North,771,0.32,4
2026-01-02,P024,South,536,0.05,5
2026-01-02,P024,East,236,0.53,5
2026-01-02,P024,West,589,1.31,3
2026-01-02,P024,Central,537,0.08,6
2026-01-02,P025,North,542,0.16,3
2026-01-02,P025,South,964,1.27,5
2026-01-02,P025,East,613,0.06,5
2026-01-02,P025,West,498,0.43,4
2026-01-02,P025,Central,271,0.09,4
2026-01-02,P026,North,1050,0.82,4
2026-01-02,P026,South,626,0.86,2
2026-01-02,P026,East,309,0.37,6
2026-01-02,P026,West,585,0.55,4
2026-01-02,P026,Central,1089,0.33,3
2026-01-02,P027,North,707,0.36,5
2026-01-02,P027,South,1416,0.02,6
2026-01-02,P027,East,1127,0.09,4
2026-01-02,P027,West,1085,0.51,6
2026-01-02,P027,Central,1219,0.1,4
2026-01-02,P028,North,1066,0.53,2
2026-01-02,P028,South,975,0.73,2
2026-01-02,P028,East,576,0.46,6
2026-01-02,P028,West,528,0.6,3
2026-01-02,P028,Central,749,0.11,5
2026-01-02,P029,North,709,0.24,4
2026-01-02,P029,South,953,0.3,6
2026-01-02,P029,East,1101,0.8,2
2026-01-02,P029,West,378,0.71,5
2026-01-02,P029,Central,1523,0.54,6
2026-01-02,P030,North,685,0.43,2
2026-01-02,P030,South,896,0.11,5
2026-01-02,P030,East,289,0.22,7
2026-01-02,P030,West,492,0.73,6
2026-01-02,P030,Central,443,0.57,6
2026-01-02,P031,North,1010,0.37,2
2026-01-02,P031,South,953,0.47,3
2026-01-02,P031,East,292,0.15,5
2026-01-02,P031,West,345,0.07,3
2026-01-02,P031,Central,619,0.44,4
2026-01-02,P032,North,573,0.29,3
2026-01-02,P032,South,341,0.38,4
2026-01-02,P032,East,510,1.38,4
2026-01-02,P032,West,949,0.04,6
2026-01-02,P032,Central,363,0.14,3
2026-01-02,P033,North,744,0.19,3
2026-01-02,P033,South,378,0.49,5
2026-01-02,P033,East,726,0.22,4
2026-01-02,P033,West,483,0.05,4
2026-01-02,P033,Central,435,0.14,4
2026-01-02,P034,North,850,0.29,5
2026-01-02,P034,South,966,0.01,5
2026-01-02,P034,East,753,0.69,5
2026-01-02,P034,West,565,0.6,4
2026-01-02,P034,Central,1118,0.15,7
2026-01-02,P035,North,556,0.96,4
2026-01-02,P035,South,667,0.27,5
2026-01-02,P035,East,420,0.82,3
2026-01-02,P035,West,631,0.43,5
2026-01-02,P035,Central,400,0.87,6
2026-01-02,P036,North,708,0.72,3
2026-01-02,P036,South,753,0.09,5
2026-01-02,P036,East,252,0.89,4
2026-01-02,P036,West,566,0.69,5
2026-01-02,P036,Central,625,0.62,4
2026-01-02,P037,North,673,0.27,4
2026-01-02,P037,South,984,0.18,5
2026-01-02,P037,East,823,0.29,5
2026-01-02,P037,West,650,0.27,7
2026-01-02,P037,Central,671,0.01,4
2026-01-02,P038,North,672,0.4,3
2026-01-02,P038,South,896,0.13,3
2026-01-02,P038,East,411,0.58,3
2026-01-02,P038,West,426,0.54,4
2026-01-02,P038,Central,889,0.83,6
2026-01-02,P039,North,906,0.71,5
2026-01-02,P039,South,392,0.04,4
2026-01-02,P039,East,407,0.08,5
2026-01-02,P039,West,942,0.42,3
2026-01-02,P039,Central,780,0.18,4
2026-01-02,P040,North,1043,0.29,4
2026-01-02,P040,South,946,0.33,6
2026-01-02,P040,East,1283,0.47,6
2026-01-02,P040,West,574,0.71,3
2026-01-02,P040,Central,540,0.24,3
2026-01-02,P041,North,669,0.54,6
2026-01-02,P041,South,780,0.15,5
2026-01-02,P041,East,892,0.24,2
2026-01-02,P041,West,999,0.91,6
2026-01-02,P041,Central,407,0.3,4
2026-01-02,P042,North,425,0.21,5
2026-01-02,P042,South,963,0.97,4
2026-01-02,P042,East,716,0.86,5
2026-01-02,P042,West,271,0.3,5
2026-01-02,P042,Central,511,0.56,4
2026-01-02,P043,North,717,0.69,7
2026-01-02,P043,South,771,0.1,5
2026-01-02,P043,East,434,0.7,6
2026-01-02,P043,West,922,0.16,2
2026-01-02,P043,Central,292,0.43,5
2026-01-02,P044,North,945,0.68,4
2026-01-02,P044,South,733,0.76,3
2026-01-02,P044,East,1082,0.48,5
2026-01-02,P044,West,848,0.18,3
2026-01-02,P044,Central,533,0.35,6
2026-01-02,P045,North,405,0.01,3
2026-01-02,P045,South,643,0.04,3
2026-01-02,P045,East,450,0.07,7
2026-01-02,P045,West,416,0.53,7
2026-01-02,P045,Central,325,0.29,3
2026-01-02,P046,North,506,0.21,4
2026-01-02,P046,South,267,0.2,2
2026-01-02,P046,East,506,0.27,6
2026-01-02,P046,West,670,1.06,6
2026-01-02,P046,Central,526,0.26,7
2026-01-02,P047,North,712,0.17,5
2026-01-02,P047,South,400,0.13,4
2026-01-02,P047,East,473,0.06,2
2026-01-02,P047,West,499,0.94,3
2026-01-02,P047,Central,385,0.33,4
2026-01-02,P048,North,674,0.15,5
2026-01-02,P048,South,898,0.92,5
2026-01-02,P048,East,773,0.33,2
2026-01-02,P048,West,746,0.43,7
2026-01-02,P048,Central,216,1.16,5
2026-01-02,P049,North,834,0.44,3
2026-01-02,P049,South,584,0.42,7
2026-01-02,P049,East,821,1.24,4
2026-01-02,P049,West,345,0.47,5
2026-01-02,P049,Central,270,0.24,3
2026-01-02,P050,North,693,0.27,6
2026-01-02,P050,South,597,1.12,7
2026-01-02,P050,East,482,1.39,4
2026-01-02,P050,West,785,0.94,5
2026-01-02,P050,Central,453,0.05,2
2026-01-03,P001,North,932,0.52,7
2026-01-03,P001,South,1543,0.67,7
2026-01-03,P001,East,1065,0.36,4
2026-01-03,P001,West,1470,0.57,6
2026-01-03,P001,Central,1112,0.24,3
2026-01-03,P002,North,486,0.0,3
2026-01-03,P002,South,638,0.02,3
2026-01-03,P002,East,819,0.33,6
2026-01-03,P002,West,373,0.1,4
2026-01-03,P002,Central,819,0.66,3
2026-01-03,P003,North,218,0.11,7
2026-01-03,P003,South,602,0.72,4
2026-01-03,P003,East,643,0.76,5
2026-01-03,P003,West,385,0.28,4
2026-01-03,P003,Central,643,0.06,4
2026-01-03,P004,North,976,0.84,4
2026-01-03,P004,South,373,0.26,5
2026-01-03,P004,East,1485,0.97,7
2026-01-03,P004,West,1322,0.08,2
2026-01-03,P004,Central,1158,0.23,4
2026-01-03,P005,North,655,0.46,2
2026-01-03,P005,South,688,0.37,2
2026-01-03,P005,East,295,1.85,4
2026-01-03,P005,West,741,0.85,6
2026-01-03,P005,Central,1150,0.6,5
2026-01-03,P006,North,641,0.51,3
2026-01-03,P006,South,588,0.35,2
2026-01-03,P006,East,506,0.18,7
2026-01-03,P006,West,836,0.07,4
2026-01-03,P006,Central,1137,0.37,5
2026-01-03,P007,North,765,0.06,6
2026-01-03,P007,South,1104,0.65,5
2026-01-03,P007,East,833,0.46,3
2026-01-03,P007,West,525,0.15,4
2026-01-03,P007,Central,769,0.15,5
2026-01-03,P008,North,666,0.09,6
2026-01-03,P008,South,529,0.47,4
2026-01-03,P008,East,539,0.26,4
2026-01-03,P008,West,683,0.37,5
2026-01-03,P008,Central,689,0.07,4
2026-01-03,P009,North,1333,0.39,4
2026-01-03,P009,South,1398,0.13,4
2026-01-03,P009,East,648,0.51,5
2026-01-03,P009,West,790,0.45,5
2026-01-03,P009,Central,769,0.37,4
2026-01-03,P010,North,671,0.8,2
2026-01-03,P010,South,232,0.09,5
2026-01-03,P010,East,501,0.22,3
2026-01-03,P010,West,320,1.11,4
2026-01-03,P010,Central,808,0.3,6
2026-01-03,P011,North,1208,0.56,6
2026-01-03,P011,South,1003,0.19,6
2026-01-03,P011,East,1156,0.14,7
2026-01-03,P011,West,1292,0.36,4
2026-01-03,P011,Central,871,0.42,3
2026-01-03,P012,North,761,0.23,2
2026-01-03,P012,South,577,0.02,3
2026-01-03,P012,East,727,0.17,5
2026-01-03,P012,West,517,1.28,6
2026-01-03,P012,Central,1062,0.36,3
2026-01-03,P013,North,342,0.89,4
2026-01-03,P013,South,617,0.49,2
2026-01-03,P013,East,720,1.22,4
2026-01-03,P013,West,410,0.63,5
2026-01-03,P013,Central,918,0.64,4
2026-01-03,P014,North,739,0.03,3
2026-01-03,P014,South,577,0.21,3
2026-01-03,P014,East,403,0.24,7
2026-01-03,P014,West,593,0.37,4
2026-01-03,P014,Central,568,0.25,5
2026-01-03,P015,North,367,0.85,4
2026-01-03,P015,South,1050,0.64,4
2026-01-03,P015,East,979,0.2,5
2026-01-03,P015,West,594,0.41,6
2026-01-03,P015,Central,795,0.24,4
2026-01-03,P016,North,974,0.07,6
2026-01-03,P016,South,899,0.62,3
2026-01-03,P016,East,1051,0.15,4
2026-01-03,P016,West,344,0.14,5
2026-01-03,P016,Central,603,0.31,6
2026-01-03,P017,North,545,0.32,6
2026-01-03,P017,South,630,0.66,5
2026-01-03,P017,East,539,0.42,6
2026-01-03,P017,West,581,0.21,3
2026-01-03,P017,Central,462,0.14,4
2026-01-03,P018,North,518,0.09,7
2026-01-03,P018,South,763,0.46,4
2026-01-03,P018,East,440,0.28,5
2026-01-03,P018,West,305,0.18,7
2026-01-03,P018,Central,666,0.19,5
2026-01-03,P019,North,615,0.36,6
2026-01-03,P019,South,800,0.75,3
2026-01-03,P019,East,557,0.59,6
2026-01-03,P019,West,336,0.72,3
2026-01-03,P019,Central,259,0.83,4
2026-01-03,P020,North,480,0.68,2
2026-01-03,P020,South,1094,0.09,4
2026-01-03,P020,East,649,0.06,4
2026-01-03,P020,West,577,0.3,6
2026-01-03,P020,Central,806,0.59,5
2026-01-03,P021,North,517,0.35,7
2026-01-03,P021,South,651,0.81,5
2026-01-03,P021,East,1245,0.1,3
2026-01-03,P021,West,748,1.34,6
2026-01-03,P021,Central,362,0.54,4
2026-01-03,P022,North,903,0.53,4
2026-01-03,P022,South,881,0.04,5
2026-01-03,P022,East,407,0.19,4
2026-01-03,P022,West,1032,0.01,4
2026-01-03,P022,Central,966,1.4,7
2026-01-03,P023,North,436,0.01,4
2026-01-03,P023,South,373,0.25,3
2026-01-03,P023,East,308,0.82,5
2026-01-03,P023,West,272,0.31,4
2026-01-03,P023,Central,1115,0.14,2
2026-01-03,P024,North,551,0.72,4
2026-01-03,P024,South,463,0.16,6
2026-01-03,P024,East,567,0.5,6
2026-01-03,P024,West,340,0.08,4
2026-01-03,P024,Central,384,0.13,4
2026-01-03,P025,North,814,0.67,3
2026-01-03,P025,South,932,0.17,6
2026-01-03,P025,East,291,0.28,2
2026-01-03,P025,West,650,0.83,4
2026-01-03,P025,Central,1051,0.67,7
2026-01-03,P026,North,933,0.08,4
2026-01-03,P026,South,818,0.23,6
2026-01-03,P026,East,558,0.38,3
2026-01-03,P026,West,665,0.48,4
2026-01-03,P026,Central,412,0.77,4
2026-01-03,P027,North,712,0.09,3
2026-01-03,P027,South,935,0.29,2
2026-01-03,P027,East,980,0.07,3
2026-01-03,P027,West,352,0.1,4
2026-01-03,P027,Central,995,0.3,3
2026-01-03,P028,North,615,0.74,4
2026-01-03,P028,South,646,0.64,3
2026-01-03,P028,East,798,0.65,3
2026-01-03,P028,West,351,0.39,4
2026-01-03,P028,Central,415,0.19,6
2026-01-03,P029,North,773,0.38,5
2026-01-03,P029,South,460,0.18,5
2026-01-03,P029,East,730,0.4,4
2026-01-03,P029,West,717,0.77,2
2026-01-03,P029,Central,597,0.6,3
2026-01-03,P030,North,1186,0.53,7
2026-01-03,P030,South,1155,0.24,6
2026-01-03,P030,East,590,0.32,4
2026-01-03,P030,West,366,0.23,5
2026-01-03,P030,Central,612,0.44,4
2026-01-03,P031,North,1040,0.22,6
2026-01-03,P031,South,398,0.51,5
2026-01-03,P031,East,479,0.34,3
2026-01-03,P031,West,429,0.41,4
2026-01-03,P031,Central,891,0.42,4
2026-01-03,P032,North,1209,0.63,3
2026-01-03,P032,South,1005,0.21,5
2026-01-03,P032,East,642,0.73,4
2026-01-03,P032,West,342,0.62,3
2026-01-03,P032,Central,1192,0.95,5
2026-01-03,P033,North,267,0.26,3
2026-01-03,P033,South,494,0.22,6
2026-01-03,P033,East,467,0.76,5
2026-01-03,P033,West,698,0.15,3
2026-01-03,P033,Central,1061,0.55,6
2026-01-03,P034,North,776,0.31,7
2026-01-03,P034,South,999,0.55,6
2026-01-03,P034,East,889,0.54,2
2026-01-03,P034,West,640,0.02,5
2026-01-03,P034,Central,622,0.27,3
2026-01-03,P035,North,280,0.47,6
2026-01-03,P035,South,554,0.13,4
2026-01-03,P035,East,677,0.27,4
2026-01-03,P035,West,434,0.44,5
2026-01-03,P035,Central,985,0.16,5
2026-01-03,P036,North,224,0.07,7
2026-01-03,P036,South,542,0.09,3
2026-01-03,P036,East,674,0.19,6
2026-01-03,P036,West,801,0.54,5
2026-01-03,P036,Central,781,0.55,2
2026-01-03,P037,North,1001,0.23,2
2026-01-03,P037,South,1172,0.23,2
2026-01-03,P037,East,277,0.41,3
2026-01-03,P037,West,1061,0.31,3
2026-01-03,P037,Central,852,0.03,5
