date,campaign_id,channel,spend,impressions,clicks,conversions
2026-01-02,CAM034,Affiliate,25865.8,97636,3521,176
2026-01-02,CAM035,Paid Social,56125.43,217216,8797,531
2026-01-02,CAM036,Paid Social,78985.31,384552,16958,950
2026-01-02,CAM037,Display,36923.6,194591,4407,147
2026-01-02,CAM038,Display,31769.08,151053,3568,118
2026-01-02,CAM039,Email,16298.76,120307,9597,948
2026-01-02,CAM040,Affiliate,23506.02,102751,3604,212
2026-01-02,CAM041,Paid Social,61377.79,257869,10059,661
2026-01-02,CAM042,Email,18527.52,132689,10930,1094
2026-01-02,CAM043,Paid Search,63608.61,240353,14524,1171
2026-01-02,CAM044,Paid Social,72774.22,308080,12031,667
2026-01-03,CAM001,Affiliate,22380.66,85030,2747,153
2026-01-03,CAM002,Email,18077.47,110211,8584,805
2026-01-03,CAM003,Paid Search,73281.14,239470,14218,1065
2026-01-03,CAM004,Display,32758.58,170282,4273,137
2026-01-03,CAM005,Affiliate,21273.16,90040,3228,176
2026-01-03,CAM006,Paid Search,68959.88,221572,12642,995
2026-01-03,CAM007,Display,36270.8,158779,3894,142
2026-01-03,CAM008,Paid Search,51752.89,154425,8198,609
2026-01-03,CAM009,Affiliate,22326.78,94526,3351,179
2026-01-03,CAM010,Email,15348.65,123435,10623,980
2026-01-03,CAM011,Affiliate,22013.34,78640,2711,141
2026-01-03,CAM012,Email,19513.35,150079,12656,1147
2026-01-03,CAM013,Affiliate,22667.22,80471,2754,142
2026-01-03,CAM014,Paid Social,71675.15,333618,15209,981
2026-01-03,CAM015,Paid Search,65429.05,196279,11288,777
2026-01-03,CAM016,Paid Search,60368.0,182480,10702,723
2026-01-03,CAM017,Paid Social,73416.44,300335,12279,793
2026-01-03,CAM018,Email,18031.96,139272,12115,1131
2026-01-03,CAM019,Paid Search,60325.46,184438,9287,704
2026-01-03,CAM020,Paid Social,72875.91,364968,15118,877
2026-01-03,CAM021,Paid Search,55914.6,179213,10122,707
2026-01-03,CAM022,Display,34426.18,150547,3726,128
2026-01-03,CAM023,Email,16960.09,123679,9253,1003
2026-01-03,CAM024,Display,32078.44,160367,4073,136
2026-01-03,CAM025,Email,18205.53,115583,9472,932
2026-01-03,CAM026,Paid Social,62320.34,292438,13132,800
2026-01-03,CAM027,Email,18916.01,149028,11534,1052
2026-01-03,CAM028,Email,16279.95,124984,10372,964
2026-01-03,CAM029,Paid Social,73879.84,326147,13485,808
2026-01-03,CAM030,Email,20671.27,162058,12562,1343
2026-01-03,CAM031,Paid Search,52780.93,211859,10757,866
2026-01-03,CAM032,Affiliate,23042.64,88785,2946,166
2026-01-03,CAM033,Paid Social,64401.87,326990,13249,800
2026-01-03,CAM034,Affiliate,25192.89,112399,3544,198
2026-01-03,CAM035,Paid Social,58684.95,263128,10851,636
2026-01-03,CAM036,Paid Social,67654.21,339646,13446,786
2026-01-03,CAM037,Display,26224.6,130406,3384,126
2026-01-03,CAM038,Display,31324.83,178018,4514,173
2026-01-03,CAM039,Email,18259.5,115394,8464,853
2026-01-03,CAM040,Affiliate,19005.27,70709,2495,143
2026-01-03,CAM041,Paid Social,67691.54,291900,11601,752
2026-01-03,CAM042,Email,21423.19,141289,11833,1300
2026-01-03,CAM043,Paid Search,54393.47,204411,11402,874
2026-01-03,CAM044,Paid Social,70434.09,347572,14100,918
2026-01-04,CAM001,Affiliate,21481.19,78032,2990,160
2026-01-04,CAM002,Email,18759.78,128856,10807,1022
2026-01-04,CAM003,Paid Search,61639.99,184460,10240,705
2026-01-04,CAM004,Display,33055.81,170355,4389,158
2026-01-04,CAM005,Affiliate,26568.91,90452,3214,187
2026-01-04,CAM006,Paid Search,59896.76,187175,10466,760
2026-01-04,CAM007,Display,39676.48,179904,4654,164
2026-01-04,CAM008,Paid Search,63184.76,237365,13701,1116
2026-01-04,CAM009,Affiliate,29053.55,133513,4564,264
2026-01-04,CAM010,Email,18619.75,134965,9737,909
2026-01-04,CAM011,Affiliate,24504.96,84088,2981,157
2026-01-04,CAM012,Email,19740.94,132485,10147,1085
2026-01-04,CAM013,Affiliate,21986.53,75218,2766,152
2026-01-04,CAM014,Paid Social,46414.07,196120,8798,564
2026-01-04,CAM015,Paid Search,50956.98,204336,10328,769
2026-01-04,CAM016,Paid Search,68901.37,268477,14568,1159
2026-01-04,CAM017,Paid Social,52063.89,261645,11114,701
2026-01-04,CAM018,Email,21477.53,141686,10567,1054
2026-01-04,CAM019,Paid Search,51262.39,203248,10995,845
2026-01-04,CAM020,Paid Social,61557.58,294517,12201,688
2026-01-04,CAM021,Paid Search,59901.06,190639,10325,765
2026-01-04,CAM022,Display,40313.75,188848,4910,187
2026-01-04,CAM023,Email,19842.45,124030,10139,1016
2026-01-04,CAM024,Display,32734.61,187043,4697,165
2026-01-04,CAM025,Email,14344.43,110946,9323,930
2026-01-04,CAM026,Paid Social,64093.95,297224,11443,687
2026-01-04,CAM027,Email,15948.37,125138,10913,1020
2026-01-04,CAM028,Email,19912.67,157270,12816,1183
2026-01-04,CAM029,Paid Social,66076.29,262759,9942,651
2026-01-04,CAM030,Email,16437.18,103857,9069,821
2026-01-04,CAM031,Paid Search,48187.98,174600,9421,731
2026-01-04,CAM032,Affiliate,21796.01,78238,2873,157
2026-01-04,CAM033,Paid Social,51147.4,221529,10022,608
2026-01-04,CAM034,Affiliate,28426.79,116529,4365,259
2026-01-04,CAM035,Paid Social,72601.6,340329,14422,796
2026-01-04,CAM036,Paid Social,77295.79,358120,13553,868
2026-01-04,CAM037,Display,36547.78,173753,4431,169
2026-01-04,CAM038,Display,35946.69,202247,5464,194
2026-01-04,CAM039,Email,19857.23,154316,11871,1181
2026-01-04,CAM040,Affiliate,22462.15,86521,3063,165
2026-01-04,CAM041,Paid Social,53963.59,223643,8694,491
2026-01-04,CAM042,Email,16526.79,101359,8080,779
2026-01-04,CAM043,Paid Search,56467.55,176932,9906,709
2026-01-04,CAM044,Paid Social,55524.71,232234,8976,534
2026-01-05,CAM001,Affiliate,23348.8,101395,3642,217
2026-01-05,CAM002,Email,17016.63,109618,9157,982
2026-01-05,CAM003,Paid Search,64123.38,213010,11531,874
2026-01-05,CAM004,Display,32207.72,151409,3988,128
2026-01-05,CAM005,Affiliate,25257.98,98447,3281,172
2026-01-05,CAM006,Paid Search,59873.34,227229,13123,902
2026-01-05,CAM007,Display,34792.67,184812,5018,180
2026-01-05,CAM008,Paid Search,51628.86,196979,11560,916
2026-01-05,CAM009,Affiliate,20848.29,86366,2982,162
2026-01-05,CAM010,Email,14484.25,110552,8979,976
2026-01-05,CAM011,Affiliate,24284.41,92568,3209,166
2026-01-05,CAM012,Email,17983.33,112334,9827,1053
2026-01-05,CAM013,Affiliate,26624.14,111869,3822,222
2026-01-05,CAM014,Paid Social,74951.83,303529,12909,836
2026-01-05,CAM015,Paid Search,56684.53,206161,10364,771
2026-01-05,CAM016,Paid Search,59316.57,190807,10206,814
2026-01-05,CAM017,Paid Social,82043.01,344659,14377,886
2026-01-05,CAM018,Email,18166.51,118325,9178,964
2026-01-05,CAM019,Paid Search,58715.68,184689,10919,757
2026-01-05,CAM020,Paid Social,63677.26,245375,10298,664
2026-01-05,CAM021,Paid Search,56185.63,184706,10146,733
2026-01-05,CAM022,Display,33895.37,159889,4372,137
2026-01-05,CAM023,Email,12060.99,84161,7274,789
2026-01-05,CAM024,Display,37969.43,175564,4285,143
2026-01-05,CAM025,Email,18307.27,110772,8456,781
2026-01-05,CAM026,Paid Social,79261.0,356869,13593,744
2026-01-05,CAM027,Email,19467.22,142193,12271,1172
2026-01-05,CAM028,Email,21502.12,164306,14368,1374
2026-01-05,CAM029,Paid Social,56984.1,255133,9905,544
2026-01-05,CAM030,Email,21348.39,169062,13386,1317
2026-01-05,CAM031,Paid Search,61582.69,217867,10822,815
2026-01-05,CAM032,Affiliate,25183.81,91545,3448,186
2026-01-05,CAM033,Paid Social,59709.13,251089,9750,580
2026-01-05,CAM034,Affiliate,31966.57,137573,4938,255
2026-01-05,CAM035,Paid Social,75168.59,348225,14596,850
2026-01-05,CAM036,Paid Social,57141.14,264610,10286,670
2026-01-05,CAM037,Display,32038.8,157866,3709,126
2026-01-05,CAM038,Display,37073.36,166502,4501,170
2026-01-05,CAM039,Email,18913.12,134174,10138,1078
2026-01-05,CAM040,Affiliate,23099.55,91744,3209,165
2026-01-05,CAM041,Paid Social,70328.91,350139,13811,889
2026-01-05,CAM042,Email,18356.13,113499,9347,924
2026-01-05,CAM043,Paid Search,53767.79,200193,11498,812
2026-01-05,CAM044,Paid Social,77071.05,301590,13065,832
2026-01-06,CAM001,Affiliate,25016.94,86301,3271,184
2026-01-06,CAM002,Email,16163.91,115596,8946,819
2026-01-06,CAM003,Paid Search,47796.02,184982,10589,839
2026-01-06,CAM004,Display,39137.88,214216,4948,180
2026-01-06,CAM005,Affiliate,29187.1,121124,4033,242
2026-01-06,CAM006,Paid Search,45451.53,136929,8154,607
2026-01-06,CAM007,Display,38202.51,202970,4641,155
2026-01-06,CAM008,Paid Search,50009.3,197734,10366,789
2026-01-06,CAM009,Affiliate,26603.61,115366,3949,196
2026-01-06,CAM010,Email,16526.63,114681,8731,874
2026-01-06,CAM011,Affiliate,19607.42,67568,2292,117
2026-01-06,CAM012,Email,19869.71,138595,11255,1139
2026-01-06,CAM013,Affiliate,24514.66,86808,3155,165
2026-01-06,CAM014,Paid Social,79064.66,330773,14011,883
2026-01-06,CAM015,Paid Search,43239.71,157192,8639,636
2026-01-06,CAM016,Paid Search,64269.71,236673,13801,1012
2026-01-06,CAM017,Paid Social,72069.51,355859,16303,899
2026-01-06,CAM018,Email,18982.06,148253,11892,1162
2026-01-06,CAM019,Paid Search,54054.73,187735,10478,733
2026-01-06,CAM020,Paid Social,76978.66,348797,15432,850
2026-01-06,CAM021,Paid Search,44446.79,145493,7683,559
2026-01-06,CAM022,Display,33994.84,162967,4467,171
2026-01-06,CAM023,Email,19315.59,149847,12379,1245
2026-01-06,CAM024,Display,32669.81,179146,4075,138
2026-01-06,CAM025,Email,18028.62,134850,10763,1005
2026-01-06,CAM026,Paid Social,63964.92,263225,10423,591
2026-01-06,CAM027,Email,16369.29,116490,9430,1001
2026-01-06,CAM028,Email,16605.1,111246,9554,969
2026-01-06,CAM029,Paid Social,64707.18,328303,14659,957
2026-01-06,CAM030,Email,17575.96,116557,9721,1016
2026-01-06,CAM031,Paid Search,57347.41,210880,10680,808
2026-01-06,CAM032,Affiliate,27459.76,93793,3194,178
2026-01-06,CAM033,Paid Social,72443.98,330742,13558,836
2026-01-06,CAM034,Affiliate,20873.1,87888,2791,141
2026-01-06,CAM035,Paid Social,64885.53,293514,11483,736
2026-01-06,CAM036,Paid Social,63773.96,264466,11276,685
2026-01-06,CAM037,Display,32796.57,156714,3756,121
2026-01-06,CAM038,Display,31966.44,181094,4106,149
2026-01-06,CAM039,Email,19709.77,141568,11692,1152
2026-01-06,CAM040,Affiliate,22615.81,83622,2938,168
2026-01-06,CAM041,Paid Social,66913.5,337805,13526,824
2026-01-06,CAM042,Email,20289.82,137601,11166,1061
2026-01-06,CAM043,Paid Search,62371.44,212540,12256,892
2026-01-06,CAM044,Paid Social,67408.53,308804,11846,713
2026-01-07,CAM001,Affiliate,22837.59,95505,3620,198
2026-01-07,CAM002,Email,14044.82,92610,7312,766
2026-01-07,CAM003,Paid Search,49366.23,174504,10519,733
2026-01-07,CAM004,Display,32022.75,145097,3707,136
2026-01-07,CAM005,Affiliate,29896.77,134397,4398,238
2026-01-07,CAM006,Paid Search,49184.25,146936,7938,637
2026-01-07,CAM007,Display,35635.3,202159,5420,173
2026-01-07,CAM008,Paid Search,61324.78,207577,11637,809
2026-01-07,CAM009,Affiliate,27427.12,116893,4228,243
2026-01-07,CAM010,Email,19490.61,138299,11741,1116
2026-01-07,CAM011,Affiliate,23155.47,86538,3256,175
2026-01-07,CAM012,Email,19891.8,156467,11705,1210
2026-01-07,CAM013,Affiliate,23663.53,80755,2826,168
2026-01-07,CAM014,Paid Social,72797.74,289718,11460,678
2026-01-07,CAM015,Paid Search,58722.93,216632,12010,962
2026-01-07,CAM016,Paid Search,63566.76,202374,10825,868
2026-01-07,CAM017,Paid Social,70683.82,359077,14741,941
2026-01-07,CAM018,Email,14359.4,103373,7461,763
2026-01-07,CAM019,Paid Search,57639.4,226190,12173,942
2026-01-07,CAM020,Paid Social,84305.38,435556,19572,1274
2026-01-07,CAM021,Paid Search,42130.89,165284,9213,747
2026-01-07,CAM022,Display,36709.21,175649,4783,152
2026-01-07,CAM023,Email,16417.47,117224,9853,989
2026-01-07,CAM024,Display,33671.38,188423,5173,176
2026-01-07,CAM025,Email,18703.49,115942,10108,1098
2026-01-07,CAM026,Paid Social,69487.03,277656,11746,678
2026-01-07,CAM027,Email,18978.27,125095,10580,954
2026-01-07,CAM028,Email,18189.64,142047,12014,1148
2026-01-07,CAM029,Paid Social,56543.15,292100,12910,722
2026-01-07,CAM030,Email,18334.51,127035,9168,1000
2026-01-07,CAM031,Paid Search,63220.87,220713,13115,980
2026-01-07,CAM032,Affiliate,24802.48,84959,3122,158
2026-01-07,CAM033,Paid Social,66993.05,286497,12619,817
2026-01-07,CAM034,Affiliate,24759.9,92841,3559,178
2026-01-07,CAM035,Paid Social,62972.06,281991,12516,743
2026-01-07,CAM036,Paid Social,66340.77,311001,12256,726
2026-01-07,CAM037,Display,40629.65,195905,4807,176
2026-01-07,CAM038,Display,38612.22,213169,5276,173
2026-01-07,CAM039,Email,19736.9,124731,9912,963
2026-01-07,CAM040,Affiliate,28871.64,105320,3337,201
2026-01-07,CAM041,Paid Social,55481.67,268523,10635,667
2026-01-07,CAM042,Email,18735.17,135365,9813,939
2026-01-07,CAM043,Paid Search,54247.76,185628,9518,774
2026-01-07,CAM044,Paid Social,75372.33,314087,13986,756
2026-01-08,CAM001,Affiliate,26280.76,104687,3833,215
2026-01-08,CAM002,Email,15864.74,98994,8604,843
2026-01-08,CAM003,Paid Search,60944.38,203033,11592,816
2026-01-08,CAM004,Display,34505.12,166275,4100,141
2026-01-08,CAM005,Affiliate,22109.77,89770,3320,196
2026-01-08,CAM006,Paid Search,62392.26,230612,11580,891
2026-01-08,CAM007,Display,34452.51,164755,3913,127
2026-01-08,CAM008,Paid Search,40157.06,136905,7265,598
2026-01-08,CAM009,Affiliate,28742.07,124880,4741,270
2026-01-08,CAM010,Email,21012.38,159707,12973,1360
2026-01-08,CAM011,Affiliate,27744.98,123245,4730,267
2026-01-08,CAM012,Email,17011.09,121011,9800,954
2026-01-08,CAM013,Affiliate,26764.43,98749,3421,204
2026-01-08,CAM014,Paid Social,64080.92,322165,12432,689
2026-01-08,CAM015,Paid Search,63964.75,233209,12241,892
2026-01-08,CAM016,Paid Search,62041.83,218251,10945,794
2026-01-08,CAM017,Paid Social,61501.88,304414,12445,742
2026-01-08,CAM018,Email,21341.87,157330,12412,1146
2026-01-08,CAM019,Paid Search,60763.45,221665,11550,944
2026-01-08,CAM020,Paid Social,52905.48,240091,9412,603
2026-01-08,CAM021,Paid Search,59865.07,222247,11662,865
2026-01-08,CAM022,Display,34835.26,179268,4354,148
2026-01-08,CAM023,Email,17596.82,117285,8886,852
2026-01-08,CAM024,Display,42835.38,230257,5912,202
2026-01-08,CAM025,Email,20575.45,126996,9280,911
2026-01-08,CAM026,Paid Social,64257.24,276492,11276,656
2026-01-08,CAM027,Email,20979.97,160374,11613,1141
2026-01-08,CAM028,Email,18892.93,135678,11420,1162
2026-01-08,CAM029,Paid Social,72846.92,344873,13062,819
2026-01-08,CAM030,Email,19497.2,155202,12694,1198
2026-01-08,CAM031,Paid Search,61192.45,231521,13926,975
2026-01-08,CAM032,Affiliate,24505.69,99760,3773,207
2026-01-08,CAM033,Paid Social,71411.57,358635,15710,1000
2026-01-08,CAM034,Affiliate,24744.22,111464,3852,219
2026-01-08,CAM035,Paid Social,81688.11,345161,14074,886
2026-01-08,CAM036,Paid Social,59055.59,287659,12950,718
2026-01-08,CAM037,Display,36430.2,195704,5068,185
2026-01-08,CAM038,Display,33996.41,153281,3517,120
2026-01-08,CAM039,Email,19245.57,140119,12056,1289
2026-01-08,CAM040,Affiliate,22216.67,95485,3385,173
2026-01-08,CAM041,Paid Social,67135.44,297460,11983,723
2026-01-08,CAM042,Email,23281.28,173777,14554,1332
2026-01-08,CAM043,Paid Search,56369.55,182346,9304,698
2026-01-08,CAM044,Paid Social,62797.51,260781,11369,618
2026-01-09,CAM001,Affiliate,22079.22,98519,3190,159
2026-01-09,CAM002,Email,15343.96,92901,7758,780
2026-01-09,CAM003,Paid Search,60436.77,239102,13381,940
2026-01-09,CAM004,Display,37524.58,210247,5571,188
2026-01-09,CAM005,Affiliate,26823.52,120589,4498,264
2026-01-09,CAM006,Paid Search,39744.56,148867,8893,690
2026-01-09,CAM007,Display,35011.4,200499,5161,164
2026-01-09,CAM008,Paid Search,37820.54,148134,8896,717
2026-01-09,CAM009,Affiliate,30444.1,104393,3390,170
2026-01-09,CAM010,Email,17782.87,116203,8915,854
2026-01-09,CAM011,Affiliate,27842.66,99791,3267,185
2026-01-09,CAM012,Email,17364.97,122066,9163,883
2026-01-09,CAM013,Affiliate,26437.49,112442,3779,211
2026-01-09,CAM014,Paid Social,43782.03,187258,7982,461
2026-01-09,CAM015,Paid Search,56639.71,187223,9395,695
2026-01-09,CAM016,Paid Search,46993.42,171041,10210,771
2026-01-09,CAM017,Paid Social,63353.87,263735,11283,649
2026-01-09,CAM018,Email,18925.15,137006,10397,1096
2026-01-09,CAM019,Paid Search,41498.2,124298,7399,535
2026-01-09,CAM020,Paid Social,72890.63,315165,12057,721
2026-01-09,CAM021,Paid Search,56197.89,194571,11548,922
2026-01-09,CAM022,Display,33658.86,153447,3591,135
2026-01-09,CAM023,Email,16026.48,127924,11016,1175
2026-01-09,CAM024,Display,35739.63,190709,4404,163
2026-01-09,CAM025,Email,17973.2,122339,10516,1081
2026-01-09,CAM026,Paid Social,62464.67,300348,11796,751
2026-01-09,CAM027,Email,15721.33,112867,8819,852
2026-01-09,CAM028,Email,13599.92,105438,8902,953
2026-01-09,CAM029,Paid Social,61673.7,308521,12304,781
2026-01-09,CAM030,Email,15773.84,101874,8902,932
2026-01-09,CAM031,Paid Search,63653.34,255179,13518,990
2026-01-09,CAM032,Affiliate,21889.55,84416,3043,177
2026-01-09,CAM033,Paid Social,56574.52,286873,12639,817
2026-01-09,CAM034,Affiliate,24646.53,104430,3909,226
2026-01-09,CAM035,Paid Social,76284.49,336584,12837,832
2026-01-09,CAM036,Paid Social,60060.69,294965,12368,771
2026-01-09,CAM037,Display,38547.98,201004,4798,170
2026-01-09,CAM038,Display,37198.71,176921,4850,176
2026-01-09,CAM039,Email,19092.35,151985,11512,1194
2026-01-09,CAM040,Affiliate,27390.7,115834,3738,199
2026-01-09,CAM041,Paid Social,57935.2,252164,9936,567
2026-01-09,CAM042,Email,18137.8,117374,10041,1080
2026-01-09,CAM043,Paid Search,60522.64,186312,11233,881
2026-01-09,CAM044,Paid Social,57746.14,246873,10389,589
2026-01-10,CAM001,Affiliate,25298.11,103523,3921,231
2026-01-10,CAM002,Email,17290.78,111543,8659,783
2026-01-10,CAM003,Paid Search,50684.69,164253,8868,704
2026-01-10,CAM004,Display,31103.73,140574,3400,117
2026-01-10,CAM005,Affiliate,22710.3,95242,3022,152
2026-01-10,CAM006,Paid Search,48641.84,179245,10564,830
2026-01-10,CAM007,Display,26935.85,133003,3466,117
2026-01-10,CAM008,Paid Search,49734.19,185521,10291,796
2026-01-10,CAM009,Affiliate,25357.71,107350,3721,185
2026-01-10,CAM010,Email,18029.34,125967,10348,1040
2026-01-10,CAM011,Affiliate,21160.48,71960,2762,151
2026-01-10,CAM012,Email,17594.01,120291,9968,902
2026-01-10,CAM013,Affiliate,22927.32,103512,3726,209
2026-01-10,CAM014,Paid Social,70472.83,316924,14043,791
2026-01-10,CAM015,Paid Search,58216.61,178635,10279,828
2026-01-10,CAM016,Paid Search,62078.07,235465,11790,847
2026-01-10,CAM017,Paid Social,65074.14,269960,12272,782
2026-01-10,CAM018,Email,20996.22,165835,12621,1315
2026-01-10,CAM019,Paid Search,64248.0,203471,11063,909
2026-01-10,CAM020,Paid Social,74942.06,307253,12001,734
2026-01-10,CAM021,Paid Search,64564.27,254631,12607,909
2026-01-10,CAM022,Display,47282.71,220760,5271,191
2026-01-10,CAM023,Email,15839.86,123473,9872,1073
2026-01-10,CAM024,Display,34069.72,174102,4084,131
2026-01-10,CAM025,Email,17918.14,110632,9332,923
2026-01-10,CAM026,Paid Social,70107.68,330510,14023,771
2026-01-10,CAM027,Email,19601.92,124795,10940,1046
2026-01-10,CAM028,Email,18269.95,110635,9329,995
2026-01-10,CAM029,Paid Social,60750.79,244142,9905,637
2026-01-10,CAM030,Email,18999.46,144245,11564,1175
2026-01-10,CAM031,Paid Search,62091.85,187217,9365,741
2026-01-10,CAM032,Affiliate,20247.4,81190,2691,145
2026-01-10,CAM033,Paid Social,62114.7,293519,13004,854
2026-01-10,CAM034,Affiliate,20385.26,88837,3120,182
2026-01-10,CAM035,Paid Social,73010.32,358709,13559,863
2026-01-10,CAM036,Paid Social,67844.01,321864,13192,755
2026-01-10,CAM037,Display,29062.02,151679,3634,118
2026-01-10,CAM038,Display,31758.44,152701,4104,150
2026-01-10,CAM039,Email,22845.71,141574,12031,1156
2026-01-10,CAM040,Affiliate,23788.27,103260,3405,192
2026-01-10,CAM041,Paid Social,55534.61,259524,10652,622
2026-01-10,CAM042,Email,21056.88,165846,13173,1310
2026-01-10,CAM043,Paid Search,52728.56,183225,9562,700
2026-01-10,CAM044,Paid Social,70985.76,363960,15543,878
2026-01-11,CAM001,Affiliate,19193.32,82706,2890,172
2026-01-11,CAM002,Email,20782.2,158559,12021,1259
2026-01-11,CAM003,Paid Search,53679.34,176532,9930,780
2026-01-11,CAM004,Display,38120.81,193813,4814,164
2026-01-11,CAM005,Affiliate,21378.46,92852,3071,154
2026-01-11,CAM006,Paid Search,45376.39,155958,8269,565
2026-01-11,CAM007,Display,38733.37,181903,4484,145
2026-01-11,CAM008,Paid Search,60281.46,207147,11394,844
2026-01-11,CAM009,Affiliate,27269.04,107355,3624,196
2026-01-11,CAM010,Email,20846.64,160653,13847,1479
2026-01-11,CAM011,Affiliate,21843.34,85261,3099,182
2026-01-11,CAM012,Email,17297.07,119033,9141,968
2026-01-11,CAM013,Affiliate,28346.04,113483,4242,241
2026-01-11,CAM014,Paid Social,66792.23,265026,10225,634
2026-01-11,CAM015,Paid Search,57124.72,171637,8813,663
2026-01-11,CAM016,Paid Search,53521.11,199981,10101,702
2026-01-11,CAM017,Paid Social,75150.31,387390,15610,955
2026-01-11,CAM018,Email,21775.09,141414,11592,1090
2026-01-11,CAM019,Paid Search,50080.38,158022,9185,730
2026-01-11,CAM020,Paid Social,62643.46,278195,11208,724
2026-01-11,CAM021,Paid Search,59674.96,235144,11832,918
2026-01-11,CAM022,Display,30374.44,149180,3385,118
2026-01-11,CAM023,Email,18677.4,111828,8669,870
2026-01-11,CAM024,Display,37087.39,169963,4056,135
